,Parameter
constant,334.8
cargo_dist1,0.93423093
cargo_dist2,0.916895121
cargo_dist3,0.898823547
cargo_dist4,0.880016209
cargo_dist5,0.860473105
cargo_dist6,0.840194236
cargo_dist7,0.819179602
cargo_dist8,0.797429203
cargo_dist9,0.774943039
cargo_dist10,0.751721109
cargo_dist11,0.727763415
cargo_dist12,0.703069956
cargo_dist13,0.677640732
cargo_dist14,0.651475742
cargo_dist15,0.624574988
cargo_dist16,0.596938468
cargo_dist17,0.568566184
cargo_dist18,0.539458134
cargo_dist19,0.50961432
cargo_dist20,0.47903474
cargo_distX,-3.29765E-05
cargo_xs500,0.713245667
cargo_blocked,-0.126821419
life_halite_d0,2.35758281
life_halite_d1,2.406221391
life_halite_d2,2.389129413
life_halite_d3,2.349614788
life_halite_d4,2.232302661
life_halite_d5,1.863252953
life_halite_d6,1.487356497
life_halite_d7,1.465378168
life_halite_d8,1.429878095
life_halite_d9,1.369357549
life_halite_dM,1.329187977
life_halite_total_ships_40,-0.124043031
life_halite_total_ships_41,-0.148723357
life_halite_total_ships_42,-0.171749505
life_halite_total_ships_43,-0.193200785
life_halite_total_ships_44,-0.213156503
life_halite_total_ships_45,-0.231695967
life_halite_total_ships_46,-0.248898485
life_halite_total_ships_47,-0.264843363
life_halite_total_ships_48,-0.279609911
life_halite_total_ships_49,-0.293277434
life_halite_total_ships_50,-0.305925242
life_halite_total_ships_51,-0.317632641
life_halite_total_ships_52,-0.328478939
life_halite_total_ships_53,-0.338543443
life_halite_total_ships_54,-0.347905462
life_halite_total_ships_55,-0.356644303
life_halite_total_ships_56,-0.364839272
life_halite_total_ships_57,-0.372569679
life_halite_total_ships_58,-0.37991483
life_halite_total_ships_59,-0.386954033
life_halite_total_ships_60,-0.393766596
life_halite_total_ships_61,-0.400431826
life_halite_total_ships_62,-0.407029031
life_halite_total_ships_63,-0.413637518
life_halite_total_ships_64,-0.420336596
life_halite_total_ships_65,-0.42720557
life_halite_total_ships_66,-0.43432375
life_halite_total_ships_67,-0.441770443
life_halite_total_ships_68,-0.449624955
life_halite_total_ships_69,-0.457966596
life_halite_total_ships_70,-0.466874672
life_halite_total_ships_71,-0.476428491
life_halite_total_ships_72,-0.48670736
life_halite_total_ships_73,-0.497790588
life_halite_total_ships_74,-0.509757482
life_halite_total_ships_75,-0.522687348
life_halite_total_ships_76,-0.536659496
life_halite_total_ships_77,-0.551753232
life_halite_total_ships_78,-0.568047864
life_halite_total_ships_79,-0.5856227
life_halite_total_ships_80,-0.604557047
life_halite_total_ships_81,-0.624930213
life_halite_total_ships_82,-0.646821505
life_halite_total_ships_83,-0.670310231
life_halite_total_ships_84,-0.695475699
life_halite_total_ships_85,-0.722397215
life_halite_total_ships_86,-0.751154089
life_halite_total_ships_87,-0.781825626
life_halite_total_ships_88,-0.814491136
life_halite_total_ships_89,-0.849229924
life_halite_total_ships_90,-0.8861213
life_halite_total_ships_M,-1
life_halite_team_ships_10,-0.115475227
life_halite_team_ships_11,-0.097034691
life_halite_team_ships_12,-0.077061908
life_halite_team_ships_13,-0.05555688
life_halite_team_ships_14,-0.032519607
life_halite_team_ships_15,-0.007950088
life_halite_team_ships_16,0.018151677
life_halite_team_ships_17,0.045785687
life_halite_team_ships_18,0.074951943
life_halite_team_ships_19,0.105650444
life_halite_team_ships_20,0.13788119
life_halite_team_ships_21,0.171644183
life_halite_team_ships_22,0.20693942
life_halite_team_ships_23,0.243766904
life_halite_team_ships_24,0.282126633
life_halite_team_ships_25,0.322018607
life_halite_team_ships_26,0.363442827
life_halite_team_ships_27,0.406399292
life_halite_team_ships_28,0.450888003
life_halite_team_ships_29,0.49690896
life_halite_team_ships_30,0.544462162
life_halite_team_ships_31,0.59354761
life_halite_team_ships_32,0.644165303
life_halite_team_ships_M,0.696315242
h0,0.17372866
h3_near,0.049521366
h3_mid,-0.000113405
h3_far,-0.034453391
h3_distant,-0.131882375
ships_dist_3,-7.192020186
h3_per_ship,0.048336403
h3_blocked,-0.035745749
